epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
2,0.113010,0.828679,5.00e-05,24.7,0.113010
3,0.112989,0.828494,5.00e-05,25.5,0.113010
4,0.112956,0.827825,5.00e-05,25.7,0.112956
5,0.113005,0.826536,5.00e-05,26.3,0.112956
6,0.113052,0.826653,5.00e-05,26.3,0.112956
7,0.113128,0.831546,5.00e-05,26.4,0.112956
8,0.113001,0.827689,5.00e-05,25.7,0.112956
9,0.112965,0.825630,5.00e-05,25.7,0.112956
10,0.113017,0.827710,5.00e-05,25.7,0.112956
11,0.113012,0.829000,4.94e-05,25.7,0.112956
12,0.112968,0.826226,4.89e-05,25.8,0.112956
13,0.112981,0.826024,4.83e-05,25.7,0.112956
14,0.112952,0.825992,4.78e-05,25.7,0.112956
15,0.113003,0.825618,4.72e-05,25.7,0.112956
16,0.112992,0.826564,4.67e-05,25.7,0.112956
17,0.112950,0.825723,4.61e-05,25.7,0.112956
18,0.112976,0.825422,4.56e-05,25.7,0.112956
19,0.112940,0.825344,4.50e-05,25.7,0.112956
1,0.141504,0.973886,5.00e-05,30.2,0.141504
2,0.140269,0.948770,5.00e-05,25.4,0.140269
3,0.139743,0.941215,5.00e-05,24.8,0.139743
4,0.139532,0.935325,5.00e-05,24.9,0.139532
5,0.139553,0.928918,5.00e-05,25.5,0.139532
6,0.139527,0.926083,5.00e-05,25.1,0.139532
7,0.139574,0.923206,5.00e-05,25.1,0.139532
8,0.139440,0.918435,5.00e-05,25.1,0.139440
9,0.139513,0.913718,5.00e-05,25.3,0.139440
10,0.139173,0.911572,5.00e-05,25.0,0.139173
11,0.139215,0.907734,4.94e-05,25.9,0.139173
12,0.139268,0.905790,4.89e-05,25.7,0.139173
13,0.139125,0.905028,4.83e-05,28.0,0.139173
14,0.139048,0.905160,4.78e-05,27.1,0.139048
15,0.138906,0.902702,4.72e-05,26.1,0.138906
16,0.139230,0.901435,4.67e-05,26.4,0.138906
17,0.139108,0.896575,4.61e-05,26.5,0.138906
